filename,patchcore_score
Suki_Canon_2014-10-13_17.13.14.jpg,
kalor_Canon_2014-10-13_17.13.07 2.jpg,
Suki_Canon_2014-10-13_17.13.14 2.jpg,
kalor_Canon_2014-10-13_17.13.07.jpg,30.788110733032227
kalor_Canon_2014-10-13_17.13.07.jpg,30.788110733032227
Suki_Canon_2014-10-13_21.11.10.jpg,
Suki_Canon_2014-10-13_21.11.10 2.jpg,
Kalor_Canon_2014-10-13_22.12.53 2.jpg,
Kalor_Canon_2014-10-13_22.12.53.jpg,38.73548889160156
Suki_Canon_2014-10-13_22.12.42 2.jpg,
Suki_Canon_2014-10-13_22.12.42.jpg,
Kalor_Canon_2014-10-13_22.12.53.jpg,38.73548889160156
Kalor_Canon_2014-10-14_00.12.52 2.jpg,
Kalor_Canon_2014-10-14_00.12.52.jpg,41.19721984863281
Suki_Canon_2014-10-14_00.12.42.jpg,
Suki_Canon_2014-10-14_00.12.42 2.jpg,
Kalor_Canon_2014-10-14_00.12.52.jpg,41.19721984863281
Kalor_Canon_2014-10-14_01.12.31 2.jpg,
Suki_Canon_2014-10-14_01.12.42 2.jpg,
Kalor_Canon_2014-10-14_01.12.31.jpg,40.26336669921875
Suki_Canon_2014-10-14_01.12.42.jpg,
Kalor_Canon_2014-10-14_01.12.31.jpg,40.26336669921875
Kalor_Canon_2014-10-14_02.12.31 2.jpg,
Suki_Canon_2014-10-14_02.12.42 2.jpg,
Kalor_Canon_2014-10-14_02.12.31.jpg,34.49095153808594
Suki_Canon_2014-10-14_02.12.42.jpg,
Kalor_Canon_2014-10-14_02.12.31.jpg,34.49095153808594
Suki_Canon_2014-10-14_08.12.41 2.jpg,
Suki_Canon_2014-10-14_08.12.41.jpg,
Suki_Canon_2014-10-14_17.13.14 2.jpg,
Suki_Canon_2014-10-14_17.13.14.jpg,
Suki_Canon_2014-10-15_01.12.40 2.jpg,
Suki_Canon_2014-10-15_01.12.40.jpg,
Kalor_Canon_2014-10-15_05.12.31 2.jpg,
Kalor_Canon_2014-10-15_05.12.31.jpg,32.43515396118164
Suki_Canon_2014-10-15_05.12.42 2.jpg,
Suki_Canon_2014-10-15_05.12.42.jpg,
Kalor_Canon_2014-10-15_05.12.31.jpg,32.43515396118164
Suki_Canon_2014-10-15_08.12.42.jpg,
Suki_Canon_2014-10-15_08.12.42 2.jpg,
Suki_Canon_2014-10-16_00.12.41 2.jpg,
Suki_Canon_2014-10-16_00.12.41.jpg,
Suki_Canon_2014-10-16_02.12.42 2.jpg,
Suki_Canon_2014-10-16_02.12.42.jpg,
Kalor_Canon_2014-10-16_11.13.05 2.jpg,
Kalor_Canon_2014-10-16_11.13.05.jpg,37.61368942260742
Kalor_Canon_2014-10-16_11.13.05.jpg,37.61368942260742
Suki_Canon_2014-10-16_17.13.15 2.jpg,
Suki_Canon_2014-10-16_17.13.15.jpg,
Suki_Canon_2014-10-16_22.12.42 2.jpg,
Suki_Canon_2014-10-16_22.12.42.jpg,
Suki_Canon_2014-10-17_00.12.41 2.jpg,
Suki_Canon_2014-10-17_00.12.41.jpg,
Suki_Canon_2014-10-17_01.12.41 2.jpg,
Suki_Canon_2014-10-17_01.12.41.jpg,
Suki_Canon_2014-10-17_02.12.41 2.jpg,
Kalor_Canon_2014-10-17_02.12.31 2.jpg,
Kalor_Canon_2014-10-17_02.12.31.jpg,43.42444610595703
